timestamp,field,value
1759877102.8557448,eph,121
1759877102.8557448,epv,200
1759877102.8557448,vel,0
1759877102.8557448,cog,0
1759877102.8557448,satellites_visible,10
1759877102.8557448,alt_ellipsoid,100
1759877102.8557448,h_acc,300
1759877102.8557448,v_acc,300
1759877102.8557448,vel_acc,0
1759877102.8557448,hdg_acc,0
1759877102.8557448,yaw,0
1759877103.0538964,time_usec,52563000
1759877103.0538964,fix_type,6
1759877103.0538964,lat,-353633245
1759877103.0538964,lon,1491652241
1759877103.0538964,alt,100
1759877103.0538964,eph,121
1759877103.0538964,epv,200
1759877103.0538964,vel,0
1759877103.0538964,cog,0
1759877103.0538964,satellites_visible,10
1759877103.0538964,alt_ellipsoid,100
1759877103.0538964,h_acc,300
1759877103.0538964,v_acc,300
1759877103.0538964,vel_acc,0
1759877103.0538964,hdg_acc,0
1759877103.0538964,yaw,0
1759877103.2522306,time_usec,52763000
1759877103.2522306,fix_type,6
1759877103.2522306,lat,-353633245
1759877103.2522306,lon,1491652241
1759877103.2522306,alt,100
1759877103.2522306,eph,121
1759877103.2522306,epv,200
1759877103.2522306,vel,0
1759877103.2522306,cog,0
1759877103.2522306,satellites_visible,10
1759877103.2522306,alt_ellipsoid,100
1759877103.2522306,h_acc,300
1759877103.2522306,v_acc,300
1759877103.2522306,vel_acc,0
1759877103.2522306,hdg_acc,0
1759877103.2522306,yaw,0
1759877103.4562154,time_usec,52963000
1759877103.4562154,fix_type,6
1759877103.4562154,lat,-353633245
1759877103.4562154,lon,1491652241
1759877103.4562154,alt,100
1759877103.4562154,eph,121
1759877103.4562154,epv,200
1759877103.4562154,vel,0
1759877103.4562154,cog,0
1759877103.4562154,satellites_visible,10
1759877103.4562154,alt_ellipsoid,100
1759877103.4562154,h_acc,300
1759877103.4562154,v_acc,300
1759877103.4562154,vel_acc,0
1759877103.4562154,hdg_acc,0
1759877103.4562154,yaw,0
1759877103.6546524,time_usec,53163000
1759877103.6546524,fix_type,6
1759877103.6546524,lat,-353633245
1759877103.6546524,lon,1491652241
1759877103.6546524,alt,100
1759877103.6546524,eph,121
1759877103.6546524,epv,200
1759877103.6546524,vel,0
1759877103.6546524,cog,0
1759877103.6546524,satellites_visible,10
1759877103.6546524,alt_ellipsoid,100
1759877103.6546524,h_acc,300
1759877103.6546524,v_acc,300
1759877103.6546524,vel_acc,0
1759877103.6546524,hdg_acc,0
1759877103.6546524,yaw,0
1759877103.8529742,time_usec,53363000
1759877103.8529742,fix_type,6
1759877103.8529742,lat,-353633245
1759877103.8529742,lon,1491652241
1759877103.8529742,alt,100
1759877103.8529742,eph,121
1759877103.8529742,epv,200
1759877103.8529742,vel,0
1759877103.8529742,cog,0
1759877103.8529742,satellites_visible,10
1759877103.8529742,alt_ellipsoid,100
1759877103.8529742,h_acc,300
1759877103.8529742,v_acc,300
1759877103.8529742,vel_acc,0
1759877103.8529742,hdg_acc,0
1759877103.8529742,yaw,0
1759877104.0566502,time_usec,53563000
1759877104.0566502,fix_type,6
1759877104.0566502,lat,-353633245
1759877104.0566502,lon,1491652241
1759877104.0566502,alt,100
1759877104.0566502,eph,121
1759877104.0566502,epv,200
1759877104.0566502,vel,0
1759877104.0566502,cog,0
1759877104.0566502,satellites_visible,10
1759877104.0566502,alt_ellipsoid,100
1759877104.0566502,h_acc,300
1759877104.0566502,v_acc,300
