timestamp,field,value
1759877104.4531624,xmag,232
1759877104.4531624,ymag,52
1759877104.4531624,zmag,-528
1759877104.4531624,id,0
1759877104.4531624,temperature,2819
1759877104.6515546,time_usec,54264119
1759877104.6515546,xacc,0
1759877104.6515546,yacc,0
1759877104.6515546,zacc,-1001
1759877104.6515546,xgyro,0
1759877104.6515546,ygyro,0
1759877104.6515546,zgyro,0
1759877104.6515546,xmag,232
1759877104.6515546,ymag,52
1759877104.6515546,zmag,-528
1759877104.6515546,id,0
1759877104.6515546,temperature,2820
1759877104.8555582,time_usec,54464039
1759877104.8555582,xacc,0
1759877104.8555582,yacc,0
1759877104.8555582,zacc,-1001
1759877104.8555582,xgyro,0
1759877104.8555582,ygyro,0
1759877104.8555582,zgyro,0
1759877104.8555582,xmag,232
1759877104.8555582,ymag,52
1759877104.8555582,zmag,-528
1759877104.8555582,id,0
1759877104.8555582,temperature,2821
1759877105.0539198,time_usec,54664792
1759877105.0539198,xacc,0
1759877105.0539198,yacc,0
1759877105.0539198,zacc,-1001
1759877105.0539198,xgyro,0
1759877105.0539198,ygyro,0
1759877105.0539198,zgyro,0
1759877105.0539198,xmag,232
1759877105.0539198,ymag,52
1759877105.0539198,zmag,-528
1759877105.0539198,id,0
1759877105.0539198,temperature,2822
1759877105.252176,time_usec,54864712
1759877105.252176,xacc,0
1759877105.252176,yacc,0
1759877105.252176,zacc,-1001
1759877105.252176,xgyro,0
1759877105.252176,ygyro,0
1759877105.252176,zgyro,0
1759877105.252176,xmag,232
1759877105.252176,ymag,52
1759877105.252176,zmag,-528
1759877105.252176,id,0
1759877105.252176,temperature,2823
1759877105.4560766,time_usec,55064632
1759877105.4560766,xacc,0
1759877105.4560766,yacc,0
1759877105.4560766,zacc,-1001
1759877105.4560766,xgyro,0
1759877105.4560766,ygyro,0
1759877105.4560766,zgyro,0
1759877105.4560766,xmag,232
1759877105.4560766,ymag,52
1759877105.4560766,zmag,-528
1759877105.4560766,id,0
1759877105.4560766,temperature,2824
1759877105.6544254,time_usec,55264552
1759877105.6544254,xacc,0
1759877105.6544254,yacc,0
1759877105.6544254,zacc,-1001
1759877105.6544254,xgyro,0
1759877105.6544254,ygyro,0
1759877105.6544254,zgyro,0
1759877105.6544254,xmag,232
1759877105.6544254,ymag,52
1759877105.6544254,zmag,-528
1759877105.6544254,id,0
1759877105.6544254,temperature,2825
1759877105.8528953,time_usec,55464472
1759877105.8528953,xacc,0
1759877105.8528953,yacc,0
1759877105.8528953,zacc,-1001
1759877105.8528953,xgyro,0
1759877105.8528953,ygyro,0
1759877105.8528953,zgyro,0
1759877105.8528953,xmag,232
1759877105.8528953,ymag,52
1759877105.8528953,zmag,-528
1759877105.8528953,id,0
1759877105.8528953,temperature,2826
1759877106.056744,time_usec,55664392
1759877106.056744,xacc,0
1759877106.056744,yacc,0
1759877106.056744,zacc,-1001
1759877106.056744,xgyro,0
1759877106.056744,ygyro,0
1759877106.056744,zgyro,0
1759877106.056744,xmag,232
1759877106.056744,ymag,52
1759877106.056744,zmag,-528
1759877106.056744,id,0
1759877106.056744,temperature,2828
1759877106.2550318,time_usec,55864312
1759877106.2550318,xacc,0
1759877106.2550318,yacc,0
1759877106.2550318,zacc,-1001
1759877106.2550318,xgyro,0
1759877106.2550318,ygyro,0
1759877106.2550318,zgyro,0
1759877106.2550318,xmag,232
1759877106.2550318,ymag,52
1759877106.2550318,zmag,-528
1759877106.2550318,id,0
1759877106.2550318,temperature,2829
1759877106.4533408,time_usec,56064232
1759877106.4533408,xacc,0
1759877106.4533408,yacc,0
1759877106.4533408,zacc,-1000
1759877106.4533408,xgyro,0
1759877106.4533408,ygyro,0
1759877106.4533408,zgyro,0
1759877106.4533408,xmag,232
1759877106.4533408,ymag,52
1759877106.4533408,zmag,-528
1759877106.4533408,id,0
1759877106.4533408,temperature,2830
1759877106.65173,time_usec,56264152
1759877106.65173,xacc,0
1759877106.65173,yacc,0
1759877106.65173,zacc,-1001
1759877106.65173,xgyro,0
1759877106.65173,ygyro,0
1759877106.65173,zgyro,0
1759877106.65173,xmag,232
1759877106.65173,ymag,52
1759877106.65173,zmag,-528
1759877106.65173,id,0
1759877106.65173,temperature,2831
1759877106.8555696,time_usec,56464072
1759877106.8555696,xacc,0
1759877106.8555696,yacc,0
1759877106.8555696,zacc,-1001
1759877106.8555696,xgyro,0
1759877106.8555696,ygyro,0
1759877106.8555696,zgyro,0
1759877106.8555696,xmag,232
1759877106.8555696,ymag,52
1759877106.8555696,zmag,-528
1759877106.8555696,id,0
1759877106.8555696,temperature,2832
1759877107.0540855,time_usec,56664825
1759877107.0540855,xacc,0
1759877107.0540855,yacc,0
1759877107.0540855,zacc,-1001
1759877107.0540855,xgyro,0
1759877107.0540855,ygyro,0
1759877107.0540855,zgyro,0
1759877107.0540855,xmag,232
1759877107.0540855,ymag,52
1759877107.0540855,zmag,-528
1759877107.0540855,id,0
